PARROQUIA,CANTON,PROVINCIA,PRECIPITACION_ANUAL_MM,ALTITUD_MEDIA_M,PENDIENTE_PCT,DISTANCIA_AGUA_KM,DENSIDAD_POBLACIONAL,AREA_URBANIZADA_PCT,RIESGO_INUNDACION,RIESGO_NUM,KEY,POB_TOTAL,POB_HOMBRES,POB_MUJERES,POB_EDAD_MEDIA,POB_MENORES_15,POB_MAYORES_65,POB_PCT_HOMBRES,POB_PCT_MUJERES,POB_PCT_MENORES_15,POB_PCT_MAYORES_65,HOG_TOTAL,HOG_AGUA_PUBLICA,HOG_ALCANTARILLADO,HOG_ELECTRICIDAD,HOG_HACINAMIENTO,HOG_PCT_AGUA,HOG_PCT_ALCANTARILLADO,HOG_PCT_ELECTRICIDAD,VIV_TOTAL,VIV_CASA,VIV_PARED_BUENA,VIV_TECHO_BUENO,VIV_PISO_BUENO,VIV_TOTPER_MEDIA,VIV_TOTDOR_MEDIA,VIV_PCT_CASA,VIV_PCT_PARED_BUENA,VIV_PCT_TECHO_BUENO,VIV_PCT_PISO_BUENO,VIV_PERS_POR_DORM,EMI_TOTAL,MAATE_CONCESIONES,MAATE_CAUDAL_TOTAL,MAATE_CAUDAL_MEDIO
ESMERALDAS,ESMERALDAS,ESMERALDAS,2243.1,27.0,1.2,0.93,52.5,10.0,Medio,1,Esmeraldas|Esmeraldas,161868.0,77505.0,84363.0,27.324004744606718,52779.0,8740.0,47.881607235525244,52.118392764474756,32.60619764252354,5.399461289445721,41130.0,11483.0,32180.0,11269.0,1.1829321663019694,27.918794067590568,78.23972769268174,27.39849258448821,40851.0,8396.0,17582.0,33152.0,19339.0,3.455174180327869,2.0613938459278844,20.55274044699028,43.03933808229909,81.1534601356148,47.340334385939144,1.6761349060749764,3342.0,,,
ESMERALDAS,ESMERALDAS,ESMERALDAS,2166.3,9.2,2.55,0.82,55.6,7.6,Medio,1,Esmeraldas|Esmeraldas,161868.0,77505.0,84363.0,27.324004744606718,52779.0,8740.0,47.881607235525244,52.118392764474756,32.60619764252354,5.399461289445721,41130.0,11483.0,32180.0,11269.0,1.1829321663019694,27.918794067590568,78.23972769268174,27.39849258448821,40851.0,8396.0,17582.0,33152.0,19339.0,3.455174180327869,2.0613938459278844,20.55274044699028,43.03933808229909,81.1534601356148,47.340334385939144,1.6761349060749764,3342.0,,,
ESMERALDAS,ESMERALDAS,ESMERALDAS,2138.1,22.7,3.26,0.82,45.6,1.8,Bajo,0,Esmeraldas|Esmeraldas,161868.0,77505.0,84363.0,27.324004744606718,52779.0,8740.0,47.881607235525244,52.118392764474756,32.60619764252354,5.399461289445721,41130.0,11483.0,32180.0,11269.0,1.1829321663019694,27.918794067590568,78.23972769268174,27.39849258448821,40851.0,8396.0,17582.0,33152.0,19339.0,3.455174180327869,2.0613938459278844,20.55274044699028,43.03933808229909,81.1534601356148,47.340334385939144,1.6761349060749764,3342.0,,,
ESMERALDAS,ESMERALDAS,ESMERALDAS,2182.2,23.0,3.07,1.05,58.6,4.5,Medio,1,Esmeraldas|Esmeraldas,161868.0,77505.0,84363.0,27.324004744606718,52779.0,8740.0,47.881607235525244,52.118392764474756,32.60619764252354,5.399461289445721,41130.0,11483.0,32180.0,11269.0,1.1829321663019694,27.918794067590568,78.23972769268174,27.39849258448821,40851.0,8396.0,17582.0,33152.0,19339.0,3.455174180327869,2.0613938459278844,20.55274044699028,43.03933808229909,81.1534601356148,47.340334385939144,1.6761349060749764,3342.0,,,
ESMERALDAS,ESMERALDAS,ESMERALDAS,2257.0,18.4,2.99,1.02,63.3,5.7,Medio,1,Esmeraldas|Esmeraldas,161868.0,77505.0,84363.0,27.324004744606718,52779.0,8740.0,47.881607235525244,52.118392764474756,32.60619764252354,5.399461289445721,41130.0,11483.0,32180.0,11269.0,1.1829321663019694,27.918794067590568,78.23972769268174,27.39849258448821,40851.0,8396.0,17582.0,33152.0,19339.0,3.455174180327869,2.0613938459278844,20.55274044699028,43.03933808229909,81.1534601356148,47.340334385939144,1.6761349060749764,3342.0,,,
CAMARONES,ESMERALDAS,ESMERALDAS,1891.0,20.3,3.2,1.6,24.2,5.4,Bajo,0,Camarones|Esmeraldas,2817.0,1474.0,1343.0,25.553070642527512,1183.0,197.0,52.32516861909833,47.674831380901665,41.99503017394392,6.993255236066738,688.0,274.0,369.0,23.0,1.2136627906976745,39.825581395348834,53.633720930232556,3.343023255813953,687.0,16.0,191.0,289.0,196.0,2.9071207430340555,1.7583697234352256,2.3289665211062593,27.802037845705968,42.066957787481805,28.529839883551674,1.653304594755295,37.0,,,
CAMARONES,ESMERALDAS,ESMERALDAS,1988.4,20.0,3.59,1.56,28.9,2.6,Bajo,0,Camarones|Esmeraldas,2817.0,1474.0,1343.0,25.553070642527512,1183.0,197.0,52.32516861909833,47.674831380901665,41.99503017394392,6.993255236066738,688.0,274.0,369.0,23.0,1.2136627906976745,39.825581395348834,53.633720930232556,3.343023255813953,687.0,16.0,191.0,289.0,196.0,2.9071207430340555,1.7583697234352256,2.3289665211062593,27.802037845705968,42.066957787481805,28.529839883551674,1.653304594755295,37.0,,,
CAMARONES,ESMERALDAS,ESMERALDAS,2081.5,28.2,3.94,1.8,31.9,2.3,Bajo,0,Camarones|Esmeraldas,2817.0,1474.0,1343.0,25.553070642527512,1183.0,197.0,52.32516861909833,47.674831380901665,41.99503017394392,6.993255236066738,688.0,274.0,369.0,23.0,1.2136627906976745,39.825581395348834,53.633720930232556,3.343023255813953,687.0,16.0,191.0,289.0,196.0,2.9071207430340555,1.7583697234352256,2.3289665211062593,27.802037845705968,42.066957787481805,28.529839883551674,1.653304594755295,37.0,,,
CAMARONES,ESMERALDAS,ESMERALDAS,2078.7,29.8,3.33,1.69,49.7,5.4,Bajo,0,Camarones|Esmeraldas,2817.0,1474.0,1343.0,25.553070642527512,1183.0,197.0,52.32516861909833,47.674831380901665,41.99503017394392,6.993255236066738,688.0,274.0,369.0,23.0,1.2136627906976745,39.825581395348834,53.633720930232556,3.343023255813953,687.0,16.0,191.0,289.0,196.0,2.9071207430340555,1.7583697234352256,2.3289665211062593,27.802037845705968,42.066957787481805,28.529839883551674,1.653304594755295,37.0,,,
CAMARONES,ESMERALDAS,ESMERALDAS,2089.5,24.8,4.13,1.49,24.2,3.0,Bajo,0,Camarones|Esmeraldas,2817.0,1474.0,1343.0,25.553070642527512,1183.0,197.0,52.32516861909833,47.674831380901665,41.99503017394392,6.993255236066738,688.0,274.0,369.0,23.0,1.2136627906976745,39.825581395348834,53.633720930232556,3.343023255813953,687.0,16.0,191.0,289.0,196.0,2.9071207430340555,1.7583697234352256,2.3289665211062593,27.802037845705968,42.066957787481805,28.529839883551674,1.653304594755295,37.0,,,
