Conjunto,Modelo,Accuracy,F1-Score,Precision,Recall,AUC-ROC,CV F1
Originales (6),Logistic Regression,0.9166666666666666,0.9161488304560955,0.9191130050505051,0.9166666666666666,0.9426639377517412,0.9140745681801976
Originales (6),Decision Tree,0.8854166666666666,0.8856374207010281,0.8894172705314011,0.8854166666666666,0.8901239077356724,0.8439666367554342
Originales (6),Random Forest,0.9270833333333334,0.926762426507671,0.9288237901543596,0.9270833333333334,0.9508554421666906,0.9235008270426489
Originales (6),SVM (RBF),0.9166666666666666,0.9160130863759895,0.9193262411347517,0.9166666666666666,0.9437221571530428,0.9198132257437603
Originales+Nuevas (20),Logistic Regression,0.9166666666666666,0.9161488304560955,0.9191130050505051,0.9166666666666666,0.9497037135324383,0.8580941998238532
Originales+Nuevas (20),Decision Tree,0.8645833333333334,0.864128738533355,0.8639025054466231,0.8645833333333334,0.8728873023980931,0.8577786240792316
Originales+Nuevas (20),Random Forest,0.9270833333333334,0.926762426507671,0.9288237901543596,0.9270833333333334,0.9523423615988529,0.9180939857898753
Originales+Nuevas (20),SVM (RBF),0.9166666666666666,0.9161488304560955,0.9191130050505051,0.9166666666666666,0.9463063291804343,0.8884092290274032
Solo Nuevas (14),Logistic Regression,0.5833333333333334,0.559630298384316,0.5657560241750209,0.5833333333333334,0.7514371198940092,0.47117196395100497
Solo Nuevas (14),Decision Tree,0.8020833333333334,0.7980685763888888,0.8055352932508105,0.8020833333333334,0.8757370788904496,0.7526885446346362
Solo Nuevas (14),Random Forest,0.9166666666666666,0.916195577693443,0.9217815914244486,0.9166666666666666,0.9490022799708419,0.8509327689983908
Solo Nuevas (14),SVM (RBF),0.6354166666666666,0.5813039043096154,0.730383167057903,0.6354166666666666,0.7619229987735512,0.53245657645124
